gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,PSC.0149,PSC.0174,PSC.0177,PSC.0186,PSC.0187,PSC.0188,PSC.0190,PSC.0202,PSC.0203,PSC.0209,PSC.0219,PSC.0228,PSC.0230,PSC.0231,uniprotID,geneID,transcript_ID,,,,,,,,
g13170.t1,139.2236008,-1.440882686,0.388771131,-3.706249181,0.000210351,0.001290025,114,71,142,79,171,90,215,105,62,69,60,299,135,171,Q90673,PRLD1_CHICK,Phel_contig_4200,,,,,,,,
g13177.t1,1071.705633,-0.713451976,0.257141545,-2.774549625,0.00552782,0.019738357,1601,1677,1062,690,781,1051,474,846,870,1036,1225,1221,1252,1127,P05708,HXK1_RAT,Phel_contig_2775,,,,,,,,
g13193.t1,272.246167,-1.56480598,0.253359067,-6.176238335,6.56E-10,1.91E-08,475,393,179,144,246,294,298,227,177,140,142,351,170,257,Q0VD26,MORN4_BOVIN,Phel_contig_8476,,,,,,,,
g13196.t1,111.0381914,4.022871966,0.380073746,10.58445107,3.52E-26,1.47E-23,20,18,165,432,5,5,4,323,147,212,194,16,397,9,Q8BGC3,MOT12_MOUSE,Phel_contig_25452,,,,,,,,
g13229.t1,473.3212979,-2.098094437,0.316468374,-6.629712828,3.36E-11,1.32E-09,499,276,215,181,613,558,803,202,158,254,229,969,321,554,Q0P4S0,LST2_XENTR,Phel_contig_13542,,,,,,,,
g13333.t1,467.7804842,-1.891600287,0.378844261,-4.993081547,5.94E-07,7.99E-06,396,198,233,212,509,410,588,301,288,195,203,821,281,1194,Q9Y223,GLCNE_HUMAN,Phel_contig_13040,,,,,,,,
g13333.t1,467.7804842,-1.891600287,0.378844261,-4.993081547,5.94E-07,7.99E-06,396,198,233,212,509,410,588,301,288,195,203,821,281,1194,Q9Y223,GLCNE_HUMAN,Phel_contig_16229,,,,,,,,
g13365.t2,254.4253281,-2.766411919,0.510054284,-5.423759797,5.84E-08,1.04E-06,252,132,72,95,212,360,454,132,84,6,75,412,115,577,E1BK52,STK10_BOVIN,Phel_contig_6649,,,,,,,,
g13381.t1,1511.917138,-1.406172937,0.42197162,-3.332387469,0.000861043,0.004178854,2629,3602,1402,696,626,984,1635,841,607,1089,1229,1657,1222,1042,Q9D2Y4,MLKL_MOUSE,Phel_contig_5862,,,,,,,,
g13383.t1,313.8672126,-1.000283737,0.368550114,-2.714105084,0.006645508,0.023049847,86,463,197,205,377,421,355,286,188,398,163,448,394,238,O95786,RIGI_HUMAN,Phel_contig_8135,,,,,,,,
g13383.t2,499.5785265,-1.410302946,0.338582637,-4.165313843,3.11E-05,0.000253079,304,807,307,325,519,379,619,379,141,393,263,738,635,668,O95786,RIGI_HUMAN,Phel_contig_8135,,,,,,,,
g13395.t1,138.8090635,1.621855234,0.192498411,8.42529155,3.60E-17,4.28E-15,52,74,233,271,61,54,23,270,225,196,319,75,302,71,O94903,PLPHP_HUMAN,Phel_contig_1968,,,,,,,,
g13396.t1,685.6658672,-2.574499365,0.417558713,-6.165598481,7.02E-10,2.04E-08,714,1239,490,105,558,667,953,227,121,313,161,1583,234,919,Q3ZCH0,GRP75_BOVIN,Phel_contig_3275,,,,,,,,
g13403.t1,298.9546429,-2.018030899,0.432637942,-4.664479708,3.09E-06,3.43E-05,176,202,171,121,228,217,329,153,141,58,131,843,282,764,Q9JI08,BIN3_MOUSE,Phel_contig_4770,,,,,,,,
g13424.t1,504.5192539,-2.197856174,0.44369776,-4.953498469,7.29E-07,9.57E-06,571,772,423,119,391,433,811,167,198,331,109,826,130,700,Q9GR88,ERF1_POLMI,Phel_contig_1317,,,,,,,,
g13547.t1,88.71687448,1.432864943,0.300315449,4.771199578,1.83E-06,2.17E-05,41,46,148,135,42,60,10,147,83,125,138,49,421,48,P49585,PCY1A_HUMAN,Phel_contig_3737,,,,,,,,
g13557.t1,104.0375766,2.558858235,0.315402464,8.112993794,4.94E-16,4.70E-14,57,17,266,264,35,26,11,192,172,124,193,20,360,17,Q503Y7,PIN4_DANRE,Phel_contig_3484,,,,,,,,
g1358.t1,3443.046809,2.126027872,0.586533081,3.624736508,0.000289256,0.001686998,261,1165,1540,4439,638,4536,231,11967,4377,8601,5939,504,14274,844,Q9U943,APLP_LOCMI,Phel_contig_570,,,,,,,,
g1358.t1,3443.046809,2.126027872,0.586533081,3.624736508,0.000289256,0.001686998,261,1165,1540,4439,638,4536,231,11967,4377,8601,5939,504,14274,844,Q9U943,APLP_LOCMI,Phel_contig_714,,,,,,,,
g1359.t1,828.2945093,1.81857092,0.614676598,2.958581678,0.003090583,0.012194936,77,279,320,1060,185,1364,47,2555,929,1936,1387,134,3729,268,Q9U943,APLP_LOCMI,Phel_contig_570,,,,,,,,
g1359.t1,828.2945093,1.81857092,0.614676598,2.958581678,0.003090583,0.012194936,77,279,320,1060,185,1364,47,2555,929,1936,1387,134,3729,268,Q9U943,APLP_LOCMI,Phel_contig_714,,,,,,,,
g13605.t1,61.48749394,0.893747035,0.255004518,3.504828238,0.000456902,0.002447851,30,29,65,92,65,31,11,118,90,92,111,44,134,54,Q5PRC1,LHPL6_DANRE,Phel_contig_14636,,,,,,,,
g13717.t1,6.563969974,-2.3941111,0.825863824,-2.898917511,0.003744534,0.014279872,1,19,2,2,20,14,4,0,6,0,2,10,7,1,P46023,GR101_LYMST,Phel_contig_15446,,,,,,,,
g13735.t1,37.09701265,0.827375613,0.271203874,3.050751457,0.002282694,0.009451666,16,29,44,65,40,25,12,38,56,60,67,16,83,22,Q8BHR2,ENOX1_MOUSE,Phel_contig_3540,,,,,,,,
g1377.t1,527.9717892,-1.245374576,0.272573742,-4.568945506,4.90E-06,5.12E-05,498,451,461,342,458,737,547,432,298,181,458,1129,577,533,P54725,RD23A_HUMAN,Phel_contig_5239,,,,,,,,
g13781.t1,813.6954971,-1.008910769,0.228572217,-4.41396939,1.01E-05,9.53E-05,862,1031,792,522,699,761,717,672,393,690,701,1297,920,921,P81134,RENR_BOVIN,Phel_contig_2855,,,,,,,,
g13785.t1,809.8776815,-1.205036337,0.3787197,-3.18186864,0.001463282,0.006521846,685,580,542,521,495,715,1074,540,458,864,496,2440,822,543,Q9QYM0,MRP5_RAT,Phel_contig_3494,,,,,,,,
g13850.t2,116.4065785,2.680679549,0.557093927,4.811898712,1.50E-06,1.80E-05,0,7,112,254,33,52,18,282,247,231,309,69,330,19,Q8WVM7,STAG1_HUMAN,Phel_contig_14779,,,,,,,,
g13858.t1,351.3400674,-1.282032232,0.219940558,-5.828994188,5.58E-09,1.28E-07,340,407,308,236,421,372,394,303,215,234,187,539,274,372,Q8BKC5,IPO5_MOUSE,Phel_contig_3549,,,,,,,,
g13859.t1,155.7903814,-0.991070598,0.280705612,-3.530640484,0.000414555,0.00225821,140,164,139,103,181,142,151,110,86,215,82,220,157,191,Q8BKC5,IPO5_MOUSE,Phel_contig_3549,,,,,,,,
g13860.t1,148.3906107,-1.116667421,0.228069986,-4.896161227,9.77E-07,1.25E-05,162,165,152,102,198,156,152,137,110,92,98,178,104,153,Q8BKC5,IPO5_MOUSE,Phel_contig_3549,,,,,,,,
g1389.t1,95.32349814,-4.365891344,1.135126761,-3.846170749,0.000119978,0.000802784,6,7,38,3,57,338,5,1,12,12,2,15,0,639,P54802,ANAG_HUMAN,Phel_contig_12343,,,,,,,,
g13921.t1,653.2152273,-1.305232798,0.288165017,-4.529463057,5.91E-06,5.99E-05,699,647,387,460,538,567,860,563,422,246,431,1185,866,707,P24928,RPB1_HUMAN,Phel_contig_538,,,,,,,,
g13922.t1,1233.647324,-1.069450264,0.217878176,-4.908478148,9.18E-07,1.18E-05,1196,1259,774,973,1148,1175,1390,1157,870,910,783,1920,1570,1369,P08775,RPB1_MOUSE,Phel_contig_8954,,,,,,,,
g13928.t1,20.59704851,2.350694261,0.401892434,5.849063239,4.94E-09,1.15E-07,7,2,50,51,7,9,1,26,33,37,30,4,79,11,Q8BX05,GLPK5_MOUSE,Phel_contig_15233,,,,,,,,
g13946.t1,920.995928,-5.313578058,0.731894978,-7.260028031,3.87E-13,2.23E-11,95,48,80,13,709,1334,964,37,74,54,39,5086,93,2806,P78333,GPC5_HUMAN,Phel_contig_858,,,,,,,,
g13956.t1,64.27306043,2.819138777,0.457563519,6.161196556,7.22E-10,2.09E-08,8,5,60,115,42,9,4,235,143,152,159,26,103,9,Q9HAR2,AGRL3_HUMAN,Phel_contig_8096,,,,,,,,
g1396.t1,174.9946741,2.162662618,0.415490529,5.205082826,1.94E-07,3.02E-06,49,36,180,370,24,61,63,526,379,423,320,27,233,83,Q9QZU7,BODG_RAT,Phel_contig_7353,,,,,,,,
g13962.t1,199.2872152,0.979110453,0.334960747,2.923060275,0.003466094,0.013417962,120,87,289,365,79,103,97,282,425,286,413,141,133,139,P41247,PLPL4_HUMAN,Phel_contig_2628,,,,,,,,
g13969.t1,921.2083219,-0.946849223,0.300203113,-3.154028664,0.001610333,0.00707735,1137,893,559,919,584,712,1190,1027,626,593,725,1001,1108,1062,Q2I6J1,SHP2A_DANRE,Phel_contig_9953,,,,,,,,
g13970.t1,506.3789704,-1.237347497,0.337230361,-3.669146199,0.000243362,0.001457963,728,422,507,225,336,526,638,329,273,522,333,685,350,611,P48818,ACADV_BOVIN,Phel_contig_2232,,,,,,,,
g14008.t1,4828.057203,-1.49146456,0.343129918,-4.346646803,1.38E-05,0.000125046,6169,7010,4877,1675,4075,3508,6062,3260,2119,3811,2567,6854,3098,5824,Q8JFP1,IF4A2_CHICK,Phel_contig_1784,,,,,,,,
g14077.t1,1191.171474,0.707932579,0.214409849,3.301772662,0.000960759,0.004578142,958,970,1694,1273,965,688,324,1855,1288,2559,1623,900,2528,679,Q3ZBG9,PLS2_BOVIN,Phel_contig_1654,,,,,,,,
g14085.t1,59.27983701,1.618359719,0.390903679,4.140047295,3.47E-05,0.000279192,51,25,84,92,37,28,6,104,84,170,95,33,148,4,Q68F70,INT4_XENLA,Phel_contig_28718,,,,,,,,
g14086.t1,26.98436418,2.493825159,0.328601038,7.589218761,3.22E-14,2.30E-12,8,7,37,48,11,11,1,82,52,70,41,6,72,6,Q5I0R4,CF300_XENTR,Phel_contig_7382,,,,,,,,
g14230.t1,29497.91358,-7.723818328,0.528379653,-14.61793292,2.16E-48,1.10E-44,36539,21295,634,115,19255,17848,75694,283,457,245,209,66916,399,65828,Q0MVN8,QOR_PIG,Phel_contig_9,,,,,,,,
g14231.t1,712.4402892,-2.074399536,0.358811626,-5.781305243,7.41E-09,1.64E-07,1249,620,454,265,531,579,1212,301,269,385,283,974,371,1016,Q9UBF6,RBX2_HUMAN,Phel_contig_3220,,,,,,,,
g14247.t2,157.1558625,-1.087894849,0.313896776,-3.465772611,0.00052871,0.002766674,96,195,143,97,284,150,132,230,85,50,117,232,163,173,Q5RAV6,RAB6A_PONAB,Phel_contig_9315,,,,,,,,
g14309.t1,199.1705472,2.293339964,0.248968833,9.211353618,3.22E-20,5.89E-18,73,68,359,423,48,94,17,596,425,244,385,74,444,43,Q2TBI2,THAP4_BOVIN,Phel_contig_12805,,,,,,,,
g14326.t1,332.1179049,-1.020065565,0.306886006,-3.323923367,0.000887606,0.004281381,585,474,300,211,219,264,303,230,243,373,233,363,267,314,P13280,GLYG_RABIT,Phel_contig_1171,,,,,,,,
g1435.t1,228.9647799,1.58439211,0.345839473,4.581293447,4.62E-06,4.88E-05,147,22,496,499,141,114,78,427,392,244,452,134,441,51,P54802,ANAG_HUMAN,Phel_contig_12343,,,,,,,,
g14355.t1,317.1186606,-1.776775112,0.412970246,-4.302428875,1.69E-05,0.000148744,516,587,264,93,287,253,386,135,92,71,306,538,293,216,Q7Z449,CP2U1_HUMAN,Phel_contig_7110,,,,,,,,
g14355.t1,317.1186606,-1.776775112,0.412970246,-4.302428875,1.69E-05,0.000148744,516,587,264,93,287,253,386,135,92,71,306,538,293,216,Q7Z449,CP2U1_HUMAN,Phel_contig_9657,,,,,,,,
g14400.t1,315.5337347,-2.014470179,0.29325779,-6.869281048,6.45E-12,2.98E-10,326,293,145,147,268,427,417,237,162,98,108,553,197,560,O35344,IMA4_MOUSE,Phel_contig_3395,,,,,,,,
g14411.t1,42.81595909,-2.950164195,1.149143982,-2.567271153,0.010250242,0.032909773,1,3,23,0,44,150,1,1,4,40,6,15,3,241,Q8SQC1,SCRB1_PIG,Phel_contig_5495,,,,,,,,
g14422.t1,611.3388851,-1.57793631,0.268734076,-5.871738838,4.31E-09,1.01E-07,505,539,235,411,1177,995,550,541,376,487,243,740,343,899,Q96P53,WDFY2_HUMAN,Phel_contig_2712,,,,,,,,
g14443.t1,820.6334103,-2.235831681,0.54647387,-4.091378937,4.29E-05,0.000336849,943,1716,547,107,312,311,1174,409,325,537,279,1115,146,1665,Q12719,LAC4_TRAVE,Phel_contig_6713,,,,,,,,
g1446.t1,528.8383078,-0.918692946,0.303734128,-3.024661581,0.002489115,0.010168563,495,498,477,389,338,486,557,532,308,654,305,804,462,715,Q5U4S8,CEGTB_XENLA,Phel_contig_2317,,,,,,,,
g14460.t1,15.04527425,3.002487912,0.493141741,6.088488689,1.14E-09,3.15E-08,1,3,21,31,5,6,0,42,22,57,27,5,31,1,Q9VCA2,ORCT_DROME,Phel_contig_22211,,,,,,,,
g1447.t1,4800.719298,-1.641588111,0.283516811,-5.790090915,7.03E-09,1.57E-07,5121,5987,2920,2292,4633,4682,6604,2928,2298,4160,2198,7391,3110,5932,P23787,TERA_XENLA,Phel_contig_1027,,,,,,,,
g14483.t1,24.30870988,1.901416859,0.370422648,5.133100984,2.85E-07,4.22E-06,7,8,63,72,17,15,2,36,25,41,48,9,45,6,Q9D099,ACER3_MOUSE,Phel_contig_23285,,,,,,,,
g14484.t1,57.87985342,3.058917007,0.350745527,8.721186068,2.75E-18,3.97E-16,18,12,79,159,11,15,4,156,67,174,137,13,121,3,Q9D099,ACER3_MOUSE,Phel_contig_23285,,,,,,,,
g14485.t1,133.9510545,2.831957636,0.435837663,6.497734991,8.15E-11,2.96E-09,70,33,242,427,14,32,17,335,242,195,269,27,341,3,Q9D099,ACER3_MOUSE,Phel_contig_23285,,,,,,,,
g14530.t1,11.38148059,1.937664768,0.489605369,3.957605229,7.57E-05,0.000548586,4,6,13,25,5,5,3,17,22,5,32,3,50,2,Q96CT2,KLH29_HUMAN,Phel_contig_15504,,,,,,,,
g14541.t1,211.1764667,2.133066653,0.54779466,3.893916479,9.86E-05,0.000681366,24,20,275,475,155,105,18,337,115,134,1009,161,741,39,Q99K85,SERC_MOUSE,Phel_contig_13176,,,,,,,,
g14605.t1,586.1867008,-4.847413524,1.145125648,-4.233084405,2.31E-05,0.000194186,13,9,165,17,645,4546,34,1,11,49,61,126,2,1914,P21836,ACES_MOUSE,Phel_contig_16508,,,,,,,,
g14613.t2,463.6989364,-1.927814946,0.555082041,-3.473027052,0.000514623,0.002703325,216,623,260,110,107,343,1130,343,240,314,131,506,249,647,Q6NS52,DGKB_MOUSE,Phel_contig_3218,,,,,,,,
g14613.t3,177.0530207,-1.585621649,0.529638012,-2.993783706,0.002755412,0.01105784,115,91,88,111,145,93,409,188,128,22,110,208,128,255,Q6NS52,DGKB_MOUSE,Phel_contig_3218,,,,,,,,
g14614.t1,221.8271719,-3.103731601,0.36482037,-8.507561135,1.78E-17,2.26E-15,303,260,53,31,171,259,461,48,58,52,70,345,91,309,Q9HAB8,PPCS_HUMAN,Phel_contig_755,,,,,,,,
g14618.t1,986.962033,-1.893638549,0.284267696,-6.661462343,2.71E-11,1.09E-09,1180,2028,858,402,1435,1098,849,405,335,594,404,1507,544,1034,Q4R6V2,TCPE_MACFA,Phel_contig_8026,,,,,,,,
g14649.t1,92.58707279,3.089402751,0.411800723,7.502179037,6.28E-14,4.26E-12,7,26,61,233,18,21,14,246,158,141,338,7,290,18,Q90YK5,HPSE_CHICK,Phel_contig_27719,,,,,,,,
g14652.t1,6.44799483,2.335738907,0.729190174,3.203195804,0.001359115,0.006116169,1,2,5,4,6,1,1,13,31,4,10,1,30,1,Q9VCA2,ORCT_DROME,Phel_contig_22211,,,,,,,,
g14672.t1,1563.444769,-2.400932586,0.522648592,-4.59377988,4.35E-06,4.63E-05,793,988,485,290,1058,1550,3010,1143,505,1078,326,2522,370,3867,Q06496,NPT2A_RAT,Phel_contig_3490,,,,,,,,
g14689.t1,2703.01971,-1.709348482,0.387833682,-4.407426592,1.05E-05,9.77E-05,3843,7212,2690,1157,2247,2217,2665,967,1035,1730,1533,3191,1521,2085,Q71U34,HSP7C_SAGOE,Phel_contig_216,,,,,,,,
g14689.t1,2703.01971,-1.709348482,0.387833682,-4.407426592,1.05E-05,9.77E-05,3843,7212,2690,1157,2247,2217,2665,967,1035,1730,1533,3191,1521,2085,Q71U34,HSP7C_SAGOE,Phel_contig_4833,,,,,,,,
g1469.t1,19.45124389,2.279378058,0.610538539,3.733389316,0.00018892,0.001181603,4,1,14,15,6,11,5,36,117,13,23,5,61,7,Q9UGM3,DMBT1_HUMAN,Phel_contig_11488,,,,,,,,
g1469.t1,19.45124389,2.279378058,0.610538539,3.733389316,0.00018892,0.001181603,4,1,14,15,6,11,5,36,117,13,23,5,61,7,Q9UGM3,DMBT1_HUMAN,Phel_contig_1748,,,,,,,,
g1469.t1,19.45124389,2.279378058,0.610538539,3.733389316,0.00018892,0.001181603,4,1,14,15,6,11,5,36,117,13,23,5,61,7,Q9UGM3,DMBT1_HUMAN,Phel_contig_2588,,,,,,,,
g14725.t1,3835.561275,-1.917407731,0.293061658,-6.542676868,6.04E-11,2.25E-09,4385,6706,2512,1743,3980,3604,5288,1952,1499,2455,1523,5311,1963,4335,Q5ZL42,5MP1_CHICK,Phel_contig_229,,,,,,,,
g14774.t1,3.729681305,-5.651525876,1.520862946,-3.715999453,0.000202402,0.001249509,5,0,0,0,7,18,0,0,0,0,0,2,0,15,P10079,FBP1_STRPU,Phel_contig_5796,,,,,,,,
g14774.t1,3.729681305,-5.651525876,1.520862946,-3.715999453,0.000202402,0.001249509,5,0,0,0,7,18,0,0,0,0,0,2,0,15,P10079,FBP1_STRPU,Phel_contig_5797,,,,,,,,
g14795.t1,540.0845413,-2.140149724,0.333967553,-6.408256447,1.47E-10,5.04E-09,359,585,259,257,638,571,936,349,249,149,183,859,289,826,Q6DGF4,ZFAN6_RAT,Phel_contig_4663,,,,,,,,
g1480.t1,79.81460567,1.382981957,0.237326517,5.827338531,5.63E-09,1.29E-07,41,55,109,162,65,36,9,146,133,141,116,42,210,26,P53395,ODB2_MOUSE,Phel_contig_3383,,,,,,,,
g14800.t1,120.0522008,-3.1223858,0.804853899,-3.879444214,0.000104695,0.000714169,17,23,28,15,302,287,4,8,81,22,19,105,34,587,P10079,FBP1_STRPU,Phel_contig_5796,,,,,,,,
g14800.t1,120.0522008,-3.1223858,0.804853899,-3.879444214,0.000104695,0.000714169,17,23,28,15,302,287,4,8,81,22,19,105,34,587,P10079,FBP1_STRPU,Phel_contig_5797,,,,,,,,
g14806.t1,47.50833629,-3.340959333,1.075149493,-3.107437016,0.001887172,0.008063514,3,2,21,2,15,277,2,3,26,9,5,6,1,226,P10079,FBP1_STRPU,Phel_contig_5796,,,,,,,,
g14806.t1,47.50833629,-3.340959333,1.075149493,-3.107437016,0.001887172,0.008063514,3,2,21,2,15,277,2,3,26,9,5,6,1,226,P10079,FBP1_STRPU,Phel_contig_5797,,,,,,,,
g14828.t1,15.68337758,1.729209049,0.718288395,2.407402182,0.016066466,0.047091752,3,10,11,8,6,8,0,115,7,32,27,15,11,5,Q80V70,MEGF6_MOUSE,Phel_contig_7201,,,,,,,,
g14831.t1,196.8045229,1.343777507,0.187464408,7.168174064,7.60E-13,4.09E-11,70,82,189,437,135,116,50,365,381,307,323,124,476,98,A9MH27,GHRA_SALAR,Phel_contig_2408,,,,,,,,
g14881.t2,237.3597801,-2.180694504,0.713984441,-3.05426054,0.00225616,0.009356941,306,730,94,68,99,137,360,159,108,0,192,227,129,210,Q9H3S4,TPK1_HUMAN,Phel_contig_16777,,,,,,,,
g14889.t1,936.1508638,-3.475958073,0.430535917,-8.073561203,6.83E-16,6.35E-14,1042,1199,298,93,844,805,2244,145,213,124,229,1447,202,1290,Q1KKZ1,SKAP2_TAKRU,Phel_contig_5641,,,,,,,,
g14889.t2,1998.416913,-3.105743785,0.398429074,-7.794972775,6.44E-15,5.15E-13,2195,2746,600,324,2299,1822,4438,541,234,807,467,2823,585,2438,Q1KKZ1,SKAP2_TAKRU,Phel_contig_5641,,,,,,,,
g14971.t1,388.8246703,-2.066225466,0.473090389,-4.367506748,1.26E-05,0.000114902,259,457,169,122,267,326,981,139,216,277,173,394,161,405,A0JM12,MEG10_XENTR,Phel_contig_2427,,,,,,,,
g14971.t2,106.4553621,-2.368178914,0.612776401,-3.864670558,0.000111239,0.000752329,32,105,52,9,98,101,320,77,24,62,17,135,59,70,A0JM12,MEG10_XENTR,Phel_contig_2427,,,,,,,,
g15015.t1,1170.153269,2.787447259,0.385766452,7.225737865,4.98E-13,2.83E-11,209,185,1598,3670,301,346,312,1870,2409,2433,2021,273,4077,46,P10079,FBP1_STRPU,Phel_contig_5796,,,,,,,,
g15015.t1,1170.153269,2.787447259,0.385766452,7.225737865,4.98E-13,2.83E-11,209,185,1598,3670,301,346,312,1870,2409,2433,2021,273,4077,46,P10079,FBP1_STRPU,Phel_contig_5797,,,,,,,,
g15033.t1,23.97970147,1.425048603,0.581357188,2.451244489,0.014236322,0.04266849,3,1,38,58,21,8,8,55,29,48,43,4,24,29,Q0D4Z6,GH38_ORYSJ,Phel_contig_11948,,,,,,,,
g15033.t1,23.97970147,1.425048603,0.581357188,2.451244489,0.014236322,0.04266849,3,1,38,58,21,8,8,55,29,48,43,4,24,29,Q0D4Z6,GH38_ORYSJ,Phel_contig_1542,,,,,,,,
g15034.t1,53.98780892,1.69258258,0.406385888,4.16496397,3.11E-05,0.000253367,17,14,63,129,23,30,14,69,106,104,130,5,105,43,Q0D4Z6,GH38_ORYSJ,Phel_contig_11948,,,,,,,,
g15034.t1,53.98780892,1.69258258,0.406385888,4.16496397,3.11E-05,0.000253367,17,14,63,129,23,30,14,69,106,104,130,5,105,43,Q0D4Z6,GH38_ORYSJ,Phel_contig_1542,,,,,,,,
g15035.t1,63.65507614,-4.069137571,1.426527,-2.852478482,0.004337975,0.016140167,0,0,27,0,129,119,2,1,12,13,2,11,0,443,Q0D4Z6,GH38_ORYSJ,Phel_contig_11948,,,,,,,,
g15035.t1,63.65507614,-4.069137571,1.426527,-2.852478482,0.004337975,0.016140167,0,0,27,0,129,119,2,1,12,13,2,11,0,443,Q0D4Z6,GH38_ORYSJ,Phel_contig_1542,,,,,,,,
g15038.t1,207.5303372,-2.209366178,0.328350638,-6.728679403,1.71E-11,7.17E-10,173,261,122,70,234,225,213,80,65,135,78,485,67,397,Q5NVI9,DNJA1_PONAB,Phel_contig_13562,,,,,,,,
g15038.t1,207.5303372,-2.209366178,0.328350638,-6.728679403,1.71E-11,7.17E-10,173,261,122,70,234,225,213,80,65,135,78,485,67,397,Q5NVI9,DNJA1_PONAB,Phel_contig_15496,,,,,,,,
g15068.t1,22.94297746,4.574671281,1.453932808,3.146411757,0.001652871,0.007228355,0,0,14,112,0,0,0,195,28,8,0,0,42,10,Q15485,FCN2_HUMAN,Phel_contig_107,,,,,,,,
g15068.t1,22.94297746,4.574671281,1.453932808,3.146411757,0.001652871,0.007228355,0,0,14,112,0,0,0,195,28,8,0,0,42,10,Q15485,FCN2_HUMAN,Phel_contig_7739,,,,,,,,
g15079.t1,501.6994753,-2.616874033,0.574678529,-4.553631118,5.27E-06,5.45E-05,770,1168,186,143,205,206,1296,123,157,250,189,300,126,246,A0JM12,MEG10_XENTR,Phel_contig_2427,,,,,,,,
g15082.t1,1470.664769,2.640885607,0.556636941,4.74435923,2.09E-06,2.45E-05,605,864,2557,4836,214,157,268,1767,2551,3537,3339,115,3112,40,O88281,MEGF6_RAT,Phel_contig_22525,,,,,,,,
g15082.t1,1470.664769,2.640885607,0.556636941,4.74435923,2.09E-06,2.45E-05,605,864,2557,4836,214,157,268,1767,2551,3537,3339,115,3112,40,O88281,MEGF6_RAT,Phel_contig_6239,,,,,,,,
g15151.t1,2965.009702,-1.629633997,0.287771722,-5.662940006,1.49E-08,3.07E-07,2026,2934,2169,1320,3357,3768,3309,1718,1215,1803,1470,8182,3044,2969,Q9GL24,CATL1_CANLF,Phel_contig_5167,,,,,,,,
g15245.t1,184.6803669,2.385781538,0.463643424,5.145724955,2.66E-07,3.97E-06,146,46,482,412,27,72,24,246,182,350,454,27,580,13,Q6ZUX7,LHPL2_HUMAN,Phel_contig_2278,,,,,,,,
g1525.t2,13.69960981,-4.106885178,1.324714112,-3.100204898,0.001933868,0.008232109,2,0,6,0,51,37,3,0,4,1,0,0,1,65,Q06806,TIE1_MOUSE,Phel_contig_14362,,,,,,,,
g15354.t1,371.478746,-1.016411498,0.29399727,-3.457214072,0.000545791,0.002836479,479,614,313,278,231,323,423,279,289,259,306,412,405,275,P35604,COPZ1_BOVIN,Phel_contig_9671,,,,,,,,
g15356.t1,2971.307598,-0.956476946,0.368266127,-2.597243881,0.009397517,0.030599106,2704,2778,1020,1602,2291,2624,3959,2476,2551,4049,2849,2821,2784,3942,Q5ZL67,NF2L1_CHICK,Phel_contig_175,,,,,,,,
g15356.t2,991.8485157,-1.708338544,0.332419845,-5.13909915,2.76E-07,4.10E-06,551,977,419,522,1648,983,1083,351,398,683,891,1535,757,1916,Q5ZL67,NF2L1_CHICK,Phel_contig_175,,,,,,,,
g1536.t1,10.83479492,-4.491522719,0.931889031,-4.819804259,1.44E-06,1.74E-05,6,8,0,0,10,3,12,1,0,0,2,52,6,33,Q06805,TIE1_BOVIN,Phel_contig_907,,,,,,,,
g15362.t1,449.1542416,-1.149152267,0.244547533,-4.699095736,2.61E-06,2.97E-05,430,467,336,311,432,455,490,311,262,475,252,817,469,464,O43242,PSMD3_HUMAN,Phel_contig_6577,,,,,,,,
g15380.t1,995.0482853,-2.555337215,0.37909899,-6.740554004,1.58E-11,6.67E-10,1220,1530,350,172,1401,928,1724,503,542,157,206,1426,634,1063,Q15032,R3HD1_HUMAN,Phel_contig_19685,,,,,,,,
g1539.t1,66.74915799,-2.057122729,0.361094674,-5.696906868,1.22E-08,2.57E-07,98,53,20,35,61,74,61,35,44,13,36,94,43,174,O14522,PTPRT_HUMAN,Phel_contig_619,,,,,,,,
g1540.t1,329.6247228,-2.203477521,0.645118174,-3.415618424,0.000636374,0.003220569,390,205,228,97,409,522,549,132,179,0,152,524,242,408,Q01063,PDE4D_MOUSE,Phel_contig_458,,,,,,,,
g1540.t2,445.4172045,-4.27910222,1.089148509,-3.928851009,8.54E-05,0.000605844,554,413,0,40,271,290,1038,79,0,177,62,815,0,999,Q01063,PDE4D_MOUSE,Phel_contig_458,,,,,,,,
g15430.t1,1473.075008,-1.270376142,0.204463855,-6.213206432,5.19E-10,1.54E-08,1601,1393,827,1240,1812,1507,1691,1144,918,1128,852,1963,1431,1824,Q6P3P1,TAXB1_XENTR,Phel_contig_2632,,,,,,,,
g15457.t1,940.4093614,-1.343817722,0.231533173,-5.803996476,6.48E-09,1.45E-07,890,790,802,504,1205,1004,1004,746,515,458,686,1865,920,1100,P28271,ACOHC_MOUSE,Phel_contig_6826,,,,,,,,
g15465.t1,36.69817743,1.931123262,0.647065125,2.984434158,0.002841033,0.011355138,21,24,80,33,9,5,12,57,32,121,4,12,207,3,P21328,RTJK_DROME,Phel_contig_11679,,,,,,,,
g15465.t1,36.69817743,1.931123262,0.647065125,2.984434158,0.002841033,0.011355138,21,24,80,33,9,5,12,57,32,121,4,12,207,3,P21328,RTJK_DROME,Phel_contig_20614,,,,,,,,
