gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
1917	g14971.t1	351.175750785406	-1.90758991057008	0.515928696345304	-3.69739059696218	0.000217827046393326	0.00170010394975455	259	38	457	169	122	267	326	981	139	216	277	173	394	161	405	sp	A0JM12	MEG10_XENTR	37.667	300	138	6	304	1062	534	831	1.3e-44	180
1918	g14971.t2	64.1327142601481	-1.48696702891953	0.418943954183183	-3.54932208490437	0.000386224358610146	0.00271827065664623	32	49	105	52	9	98	101	320	77	24	62	17	135	59	70	sp	A0JM12	MEG10_XENTR	47.419	833	431	2	10	2508	3	828	0	743
1919	g14971.t2	64.1327142601481	-1.48696702891953	0.418943954183183	-3.54932208490437	0.000386224358610146	0.00271827065664623	32	49	105	52	9	98	101	320	77	24	62	17	135	59	70	sp	A0JM12	MEG10_XENTR	42.58	721	395	10	628	2772	123	830	3.76e-154	492
1920	g14971.t2	64.1327142601481	-1.48696702891953	0.418943954183183	-3.54932208490437	0.000386224358610146	0.00271827065664623	32	49	105	52	9	98	101	320	77	24	62	17	135	59	70	sp	A0JM12	MEG10_XENTR	39.321	501	283	6	1279	2772	122	604	3.09e-91	320
1921	g14971.t2	64.1327142601481	-1.48696702891953	0.418943954183183	-3.54932208490437	0.000386224358610146	0.00271827065664623	32	49	105	52	9	98	101	320	77	24	62	17	135	59	70	sp	A0JM12	MEG10_XENTR	40.682	440	253	6	346	1656	418	852	2.14e-85	304
1922	g14971.t2	64.1327142601481	-1.48696702891953	0.418943954183183	-3.54932208490437	0.000386224358610146	0.00271827065664623	32	49	105	52	9	98	101	320	77	24	62	17	135	59	70	sp	A0JM12	MEG10_XENTR	37.667	300	138	6	304	1062	534	831	1.28e-44	179
1923	g14972.t1	1040.3041514129	-0.640038070122472	0.262170372790398	-2.44130587034018	0.0146342540271118	0.0493318924706393	1193	197	1301	1127	1008	1188	1009	1091	1212	856	779	1012	1185	1355	1147	sp	P22129	RB11B_DIPOM	84.404	218	33	1	1	651	1	218	2.06e-130	369
1924	g14973.t1	47.4588666378569	-3.31529069684301	1.03038790990917	-3.21751707775305	0.00129305328895391	0.00725122029717934	1	16	4	24	7	126	163	6	0	16	9	12	20	0	248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1925	g14974.t1	158.648377442249	0.962913010151217	0.268678249966058	3.58388894625025	0.000338516060086039	0.00243477226062548	161	26	69	360	240	135	176	45	258	158	268	293	116	387	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1926	g14981.t1	176.058093437234	0.761203122455838	0.234759416232271	3.24248174864561	0.00118493537609112	0.00677665262007173	139	86	161	203	264	132	137	41	300	281	399	241	110	361	75	sp	E9Q4F2	KLH18_MOUSE	60.32	562	223	0	61	1746	10	571	0	745
1927	g14983.t1	250.859978996293	-1.06525619248213	0.35059636980481	-3.03841192957932	0.00237828610464579	0.0118339972111342	326	51	500	392	156	298	271	243	172	150	176	181	325	170	230	sp	Q8JIU7	NACA_DANRE	64.977	217	65	3	1	624	1	215	4.49e-75	228
1928	g14988.t1	261.634002675652	-0.772285853985612	0.295880751178605	-2.61012536607841	0.00905090469413076	0.0339017179808724	308	80	362	165	191	220	164	238	349	193	320	271	473	227	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1929	g14992.t1	547.706134777817	-4.04377963941292	1.03102084262313	-3.92211240766452	8.77760224827649e-05	0.000801619114497487	15	320	15	257	18	604	3139	24	5	31	52	117	160	5	2640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1930	g14993.t1	91.0012823149708	-4.68792187067518	1.19602652881555	-3.91958017462851	8.87033499540786e-05	0.000808638334727423	8	98	0	26	4	99	566	2	2	9	0	12	18	0	348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1931	g14994.t1	5.22310128335131	-5.26108658582635	1.51564957792809	-3.4711760966663	0.00051818405895342	0.00345589152757621	0	10	3	0	0	1	28	0	0	0	0	0	2	2	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1932	g14995.t1	81.5739970058923	-1.25146403032297	0.345668971146527	-3.62041182398314	0.000294134479026759	0.00218605271513017	120	12	187	55	52	55	114	69	59	67	65	42	123	93	89	sp	P53808	PPCT_MOUSE	51.232	203	96	2	7	606	8	210	2.84e-74	226
1933	g14997.t1	66.4015152289225	-1.98060690685216	0.688269193274958	-2.87766316755794	0.0040063266176888	0.0180201406182323	15	63	14	12	8	110	117	44	47	77	2	25	55	75	230	sp	E9PYK3	PARP4_MOUSE	40.73	1014	549	23	415	3423	243	1215	0	660
1934	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	30.986	1065	654	28	2491	5559	355	1380	7.25e-134	463
1935	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	29.17	1169	733	43	3901	7263	238	1359	2.83e-117	413
1936	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	25.954	1179	752	48	5188	8511	242	1370	3.75e-88	323
1937	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	26.772	1143	706	44	2698	5928	278	1355	5.09e-85	313
1938	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	25.849	1207	753	49	3421	6828	228	1363	1.08e-81	303
1939	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	24.855	1207	776	43	2962	6399	227	1363	6.15e-78	291
1940	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	24.363	1178	781	51	4723	8079	230	1356	9.15e-67	255
1941	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	25.941	717	445	31	6487	8466	236	923	1.16e-45	186
1942	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	26.087	736	464	31	118	2214	234	926	1.17e-44	183
1943	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	25.067	746	456	30	127	2220	670	1360	9.54e-44	180
1944	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	23.377	770	480	29	73	2220	504	1217	3.59e-40	168
1945	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	25	452	289	18	790	2094	176	594	1.41e-22	110
1946	g14998.t1	802.013502923585	-3.81335908353479	1.05592279133965	-3.61139954058266	0.000304549054439822	0.0022438260296326	8	225	20	581	38	727	9964	86	22	252	202	59	272	12	9403	sp	Q61830	MRC1_MOUSE	29.348	276	170	8	1393	2202	230	486	2.28e-22	110
1947	g14999.t1	225.394718780332	-3.40860694793502	1.06563712077861	-3.19865635446758	0.00138069640599872	0.00764755933020539	3	63	7	249	13	186	2748	22	5	121	61	20	78	4	2663	sp	P22897	MRC1_HUMAN	25.832	751	476	29	64	2187	657	1369	4.09e-58	218
1948	g14999.t1	225.394718780332	-3.40860694793502	1.06563712077861	-3.19865635446758	0.00138069640599872	0.00764755933020539	3	63	7	249	13	186	2748	22	5	121	61	20	78	4	2663	sp	P22897	MRC1_HUMAN	26.711	453	261	20	34	1296	944	1357	6.46e-32	137
1949	g14999.t1	225.394718780332	-3.40860694793502	1.06563712077861	-3.19865635446758	0.00138069640599872	0.00764755933020539	3	63	7	249	13	186	2748	22	5	121	61	20	78	4	2663	sp	P22897	MRC1_HUMAN	22.703	762	487	33	22	2145	211	924	4.39e-29	129
1950	g14999.t1	225.394718780332	-3.40860694793502	1.06563712077861	-3.19865635446758	0.00138069640599872	0.00764755933020539	3	63	7	249	13	186	2748	22	5	121	61	20	78	4	2663	sp	P22897	MRC1_HUMAN	28.333	300	168	11	1408	2229	238	516	3.18e-25	116
1951	g14999.t1	225.394718780332	-3.40860694793502	1.06563712077861	-3.19865635446758	0.00138069640599872	0.00764755933020539	3	63	7	249	13	186	2748	22	5	121	61	20	78	4	2663	sp	P22897	MRC1_HUMAN	24.286	420	267	16	964	2154	239	630	3.46e-24	113
1952	g15000.t1	136.238151096885	-3.66839866122013	1.25846374848429	-2.91498159215026	0.00355709522617168	0.0164264152013286	0	43	3	90	0	59	667	6	3	33	13	12	27	1	870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1953	g15009.t1	1600.5234480808	-3.15226385436785	1.07028369348581	-2.94526009650884	0.00322683278514614	0.0151949668220054	19	246	17	1022	49	1044	7679	131	32	434	536	412	476	29	9869	sp	P22897	MRC1_HUMAN	24.5	1049	698	36	73	3087	362	1360	9.48e-63	237
1954	g15009.t1	1600.5234480808	-3.15226385436785	1.07028369348581	-2.94526009650884	0.00322683278514614	0.0151949668220054	19	246	17	1022	49	1044	7679	131	32	434	536	412	476	29	9869	sp	P22897	MRC1_HUMAN	22.541	1047	672	40	109	3048	230	1204	5.62e-47	187
1955	g15009.t1	1600.5234480808	-3.15226385436785	1.07028369348581	-2.94526009650884	0.00322683278514614	0.0151949668220054	19	246	17	1022	49	1044	7679	131	32	434	536	412	476	29	9869	sp	P22897	MRC1_HUMAN	27.58	562	359	17	1444	3048	229	769	3.9e-42	172
1956	g15009.t1	1600.5234480808	-3.15226385436785	1.07028369348581	-2.94526009650884	0.00322683278514614	0.0151949668220054	19	246	17	1022	49	1044	7679	131	32	434	536	412	476	29	9869	sp	P22897	MRC1_HUMAN	23.134	938	615	33	70	2724	503	1387	2.44e-38	159
1957	g15009.t1	1600.5234480808	-3.15226385436785	1.07028369348581	-2.94526009650884	0.00322683278514614	0.0151949668220054	19	246	17	1022	49	1044	7679	131	32	434	536	412	476	29	9869	sp	P22897	MRC1_HUMAN	26.411	443	286	19	46	1350	937	1347	1.66e-27	124
1958	g1501.t1	361.61279317579	-1.81071161790889	0.472949250868241	-3.82855372872413	0.000128898493596769	0.00110356901818998	672	99	148	236	53	928	798	224	145	119	442	218	424	127	614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1959	g15011.t1	4360.8780091423	-1.89520232053294	0.487184377693995	-3.89011308101372	0.000100197519455452	0.00089651502622775	5739	717	18616	2283	1867	3928	3028	4787	1744	1525	1659	3050	5357	4622	1887	sp	Q6PF21	SYMC_XENLA	59.181	904	357	7	1	2697	1	897	0	1054
1960	g15014.t1	1021.47070141971	-2.73579563688662	0.931303765401031	-2.9375975256672	0.00330766119150764	0.0154986423486546	27	282	25	799	113	1366	4962	54	170	235	377	355	222	87	5246	sp	Q61830	MRC1_MOUSE	25.266	1223	785	54	997	4488	238	1390	1.8e-82	303
1961	g15014.t1	1021.47070141971	-2.73579563688662	0.931303765401031	-2.9375975256672	0.00330766119150764	0.0154986423486546	27	282	25	799	113	1366	4962	54	170	235	377	355	222	87	5246	sp	Q61830	MRC1_MOUSE	24.652	1221	768	56	82	3534	217	1355	2.74e-68	258
1962	g15014.t1	1021.47070141971	-2.73579563688662	0.931303765401031	-2.9375975256672	0.00330766119150764	0.0154986423486546	27	282	25	799	113	1366	4962	54	170	235	377	355	222	87	5246	sp	Q61830	MRC1_MOUSE	25.803	1089	660	48	64	3123	361	1370	8.9e-67	253
1963	g15014.t1	1021.47070141971	-2.73579563688662	0.931303765401031	-2.9375975256672	0.00330766119150764	0.0154986423486546	27	282	25	799	113	1366	4962	54	170	235	377	355	222	87	5246	sp	Q61830	MRC1_MOUSE	26.298	597	385	20	2719	4425	224	793	1.96e-44	181
1964	g15014.t1	1021.47070141971	-2.73579563688662	0.931303765401031	-2.9375975256672	0.00330766119150764	0.0154986423486546	27	282	25	799	113	1366	4962	54	170	235	377	355	222	87	5246	sp	Q61830	MRC1_MOUSE	27.002	437	298	11	61	1347	942	1365	1.16e-42	175
1965	g15015.t1	1081.94173843281	2.55736471586952	0.400228362662169	6.38976383097611	1.6614215178138e-10	8.74570670021935e-09	209	289	185	1598	3670	301	346	312	1870	2409	2433	2021	273	4077	46	sp	P10079	FBP1_STRPU	40.206	194	103	8	502	1065	187	373	9.62e-23	107
1966	g15016.t1	11.1846981803793	2.14087262418517	0.636491358785678	3.36355332187008	0.000769459703867043	0.00477135588798036	0	4	0	16	30	7	9	0	28	14	13	41	2	35	7	sp	Q8BZ39	NMUR2_MOUSE	32.047	337	180	15	190	1149	42	346	2.16e-21	98.6
1967	g15019.t1	2588.63689022874	-0.667832057220676	0.272345033500706	-2.45215434493666	0.0142003737015457	0.0481706721888195	2940	754	2308	1827	2356	3954	2246	2363	2372	2384	4393	1808	3254	2509	3205	sp	Q9GNE2	RL23_AEDAE	88.976	127	14	0	40	420	14	140	3.69e-79	233
1968	g1502.t1	849.28334903202	-5.12582810256195	0.824405358199954	-6.21760648639394	5.0479557995519e-10	2.36390743989838e-08	178	159	28	111	26	6148	2351	49	27	22	24	82	639	123	2564	sp	B2GV87	PTPRE_RAT	40.823	583	327	10	2605	4323	124	698	6.2e-132	427
1969	g15023.t2	347.968051656381	-1.01421954084255	0.367994316237552	-2.75607392856535	0.00584997731186137	0.0241996671399849	245	113	606	133	359	193	272	495	337	244	236	253	508	591	426	sp	Q9HCE0	EPG5_HUMAN	34.575	1530	867	26	1447	5865	254	1706	0	736
1970	g15025.t1	79.1742915675753	-1.8458722951948	0.604429435391804	-3.05390867338925	0.00225880832613837	0.0113474433893234	31	6	19	47	50	47	63	165	43	34	35	26	170	75	244	sp	Q9H1K6	TLRN1_HUMAN	47.368	323	156	4	55	993	36	354	5.86e-89	275
1971	g15026.t1	19.7381102885805	-2.35309065130745	0.692567153940277	-3.39763535986341	0.000679709524540072	0.00432515163630131	17	1	13	6	15	14	18	34	8	5	0	17	46	5	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1972	g15027.t1	200.704527069649	-2.24861068341724	0.659997484093018	-3.40699887137801	0.000656813986070525	0.00421057794726993	52	48	40	29	108	1385	404	17	94	96	66	87	204	151	350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1973	g15034.t1	49.4113831973343	1.69888198659438	0.386212744026975	4.39882425649766	1.08838916719894e-05	0.000140166362850191	17	10	14	63	129	23	30	14	69	106	104	130	5	105	43	sp	Q0D4Z6	GH38_ORYSJ	26.799	556	359	18	295	1869	44	582	4.8e-45	172
1974	g15035.t1	57.7019895718108	-3.91080260472944	1.37380722582327	-2.84668949996667	0.0044176427577439	0.0194575938647779	0	8	0	27	0	129	119	2	1	12	13	2	11	0	443	sp	Q0D4Z6	GH38_ORYSJ	27.807	561	356	20	307	1887	44	589	4.16e-48	181
1975	g15036.t1	724.991646373111	-0.9725348641662	0.257018663173651	-3.78390756592303	0.000154385180315356	0.00127680557191236	901	177	764	533	600	842	693	770	712	536	785	565	1231	579	943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1976	g15038.t1	191.442844542974	-2.08822933704205	0.354287240202509	-5.8941703230645	3.76568600506449e-09	1.42008289305217e-07	173	47	261	122	70	234	225	213	80	65	135	78	485	67	397	sp	Q5NVI9	DNJA1_PONAB	65.782	377	129	0	1	1131	1	377	2.17e-167	477
1977	g15048.t1	271.544377947705	1.04378462697219	0.284149053343294	3.67337006648811	0.000239372421705867	0.00183711328258476	216	50	342	370	468	151	143	84	711	409	456	474	146	539	101	sp	Q9Y3E1	HDGR3_HUMAN	68.085	94	29	1	13	294	8	100	8.57e-35	135
1978	g15063.t1	24.4114550200475	-2.86463543677937	1.05426221311852	-2.71719445232297	0.00658379141784306	0.0265746879337751	8	85	3	27	0	12	37	1	0	6	2	7	6	5	51	sp	Q96PH1	NOX5_HUMAN	40.232	517	258	10	1900	3351	24	522	1.68e-96	332
1979	g15063.t1	24.4114550200475	-2.86463543677937	1.05426221311852	-2.71719445232297	0.00658379141784306	0.0265746879337751	8	85	3	27	0	12	37	1	0	6	2	7	6	5	51	sp	Q96PH1	NOX5_HUMAN	55.882	204	86	3	3859	4464	564	765	9.03e-60	224
1980	g15068.t1	21.3810436681073	3.59330967841781	1.44879929004646	2.48019839815258	0.0131309297676876	0.0452513006568844	0	7	0	14	112	0	0	0	195	28	8	0	0	42	10	sp	Q15485	FCN2_HUMAN	55.814	215	92	3	421	1065	102	313	9.41e-77	241
1981	g15071.t1	75.5804046381912	-4.2010939359968	1.00029120913748	-4.19987089521586	2.67067218229505e-05	0.00029524779082245	0	51	6	12	7	38	373	10	10	2	20	7	4	7	436	sp	Q6GNV7	DIRC2_XENLA	35.731	431	269	6	148	1425	24	451	5.69e-75	246
1982	g15078.t1	996.975725285288	-1.23574342150519	0.400179059478923	-3.08797622522844	0.00201524592670761	0.010393288587442	1130	131	1207	691	717	731	779	1704	754	636	558	578	1358	1553	1561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1983	g15079.t1	463.79582525377	-2.49471279160464	0.565551556274439	-4.41111471434809	1.02839813819034e-05	0.000133790701862586	770	117	1168	186	143	205	206	1296	123	157	250	189	300	126	246	sp	A0JM12	MEG10_XENTR	39.535	258	152	1	448	1221	260	513	1.59e-41	166
1984	g15079.t1	463.79582525377	-2.49471279160464	0.565551556274439	-4.41111471434809	1.02839813819034e-05	0.000133790701862586	770	117	1168	186	143	205	206	1296	123	157	250	189	300	126	246	sp	A0JM12	MEG10_XENTR	39.08	261	150	3	448	1224	564	817	1.34e-38	157
1985	g15079.t1	463.79582525377	-2.49471279160464	0.565551556274439	-4.41111471434809	1.02839813819034e-05	0.000133790701862586	770	117	1168	186	143	205	206	1296	123	157	250	189	300	126	246	sp	A0JM12	MEG10_XENTR	39.496	238	137	2	442	1155	390	620	1.53e-37	154
1986	g15079.t1	463.79582525377	-2.49471279160464	0.565551556274439	-4.41111471434809	1.02839813819034e-05	0.000133790701862586	770	117	1168	186	143	205	206	1296	123	157	250	189	300	126	246	sp	A0JM12	MEG10_XENTR	39.464	261	147	4	448	1221	435	687	3.38e-37	153
1987	g15079.t1	463.79582525377	-2.49471279160464	0.565551556274439	-4.41111471434809	1.02839813819034e-05	0.000133790701862586	770	117	1168	186	143	205	206	1296	123	157	250	189	300	126	246	sp	A0JM12	MEG10_XENTR	38.596	228	129	3	457	1134	134	352	9.24e-34	142
1988	g15079.t1	463.79582525377	-2.49471279160464	0.565551556274439	-4.41111471434809	1.02839813819034e-05	0.000133790701862586	770	117	1168	186	143	205	206	1296	123	157	250	189	300	126	246	sp	A0JM12	MEG10_XENTR	37.755	196	115	1	550	1137	122	310	3.71e-27	121
1989	g15082.t1	1329.48474580063	2.638793328113	0.52395977995818	5.03625169153941	4.74736250613514e-07	9.69869573373313e-06	605	166	864	2557	4836	214	157	268	1767	2551	3537	3339	115	3112	40	sp	O88281	MEGF6_RAT	42.456	1034	579	14	541	3600	520	1551	0	709
1990	g15082.t1	1329.48474580063	2.638793328113	0.52395977995818	5.03625169153941	4.74736250613514e-07	9.69869573373313e-06	605	166	864	2557	4836	214	157	268	1767	2551	3537	3339	115	3112	40	sp	O88281	MEGF6_RAT	41.787	1041	593	10	10	3096	514	1553	0	708
1991	g15082.t1	1329.48474580063	2.638793328113	0.52395977995818	5.03625169153941	4.74736250613514e-07	9.69869573373313e-06	605	166	864	2557	4836	214	157	268	1767	2551	3537	3339	115	3112	40	sp	O88281	MEGF6_RAT	41.023	997	577	9	7	2967	557	1552	0	676
1992	g15082.t1	1329.48474580063	2.638793328113	0.52395977995818	5.03625169153941	4.74736250613514e-07	9.69869573373313e-06	605	166	864	2557	4836	214	157	268	1767	2551	3537	3339	115	3112	40	sp	O88281	MEGF6_RAT	41.058	1040	596	15	646	3723	512	1548	0	664
1993	g15082.t1	1329.48474580063	2.638793328113	0.52395977995818	5.03625169153941	4.74736250613514e-07	9.69869573373313e-06	605	166	864	2557	4836	214	157	268	1767	2551	3537	3339	115	3112	40	sp	O88281	MEGF6_RAT	39.751	1044	585	12	229	3231	514	1556	0	648
1994	g15082.t1	1329.48474580063	2.638793328113	0.52395977995818	5.03625169153941	4.74736250613514e-07	9.69869573373313e-06	605	166	864	2557	4836	214	157	268	1767	2551	3537	3339	115	3112	40	sp	O88281	MEGF6_RAT	40.421	522	306	4	4	1557	1034	1554	1.34e-104	371
1995	g15083.t2	10.4541619463133	-3.52739151206737	1.36767106974967	-2.57912270726982	0.0099051594753459	0.0363957413806231	25	23	0	0	7	5	0	12	0	0	0	0	18	10	17	sp	Q502L1	ACB5A_DANRE	52.632	114	54	0	22	363	11	124	4.9e-38	148
1996	g15084.t2	162.692284217164	2.1071281865718	0.393906720187145	5.34930753547617	8.82913991130496e-08	2.30319470855631e-06	61	16	84	245	442	12	117	56	327	310	429	324	40	440	33	sp	Q9DE13	BAZ2B_CHICK	41.143	350	150	9	166	1122	1637	1961	7.09e-67	240
1997	g15084.t2	162.692284217164	2.1071281865718	0.393906720187145	5.34930753547617	8.82913991130496e-08	2.30319470855631e-06	61	16	84	245	442	12	117	56	327	310	429	324	40	440	33	sp	Q9DE13	BAZ2B_CHICK	61.856	97	37	0	1441	1731	2031	2127	6.66e-36	148
1998	g15085.t1	73.1494719037817	1.67937280041087	0.4631509687004	3.62597276892929	0.000287875692052549	0.00214691161584174	24	0	18	123	242	88	50	22	170	62	150	135	28	190	33	sp	Q9UIF8	BAZ2B_HUMAN	46.043	556	261	10	2077	3696	735	1267	1.79e-93	341
1999	g15085.t2	24.7987574313425	2.5775057202149	0.856308708346468	3.01001927820174	0.00261231108465843	0.0127971188490327	23	0	0	48	138	13	15	0	21	20	71	47	8	65	0	sp	Q9UIF8	BAZ2B_HUMAN	46.126	555	261	9	2074	3690	735	1267	6.07e-95	345
2000	g15085.t3	453.156494445178	1.29099051119954	0.314718508288224	4.10204826599278	4.09508819563412e-05	0.000423504938396483	200	221	228	691	834	265	256	163	698	828	957	879	334	1149	49	sp	Q9UIF8	BAZ2B_HUMAN	44.604	556	258	11	2074	3660	735	1267	1.43e-89	328
2001	g15090.t1	244.358549112016	-2.55101262003406	0.732661271033243	-3.48184450426385	0.000497972768582207	0.0033457238453408	22	47	225	70	137	501	1613	65	63	153	11	61	717	136	26	sp	Q8CI43	MYL6B_MOUSE	53.425	146	64	1	22	447	60	205	4.66e-51	165
2002	g15091.t1	315.001877611287	0.982529237259775	0.289039177030359	3.3992943356484	0.000675599685394788	0.00430406336675979	367	75	283	550	500	198	196	76	636	411	467	721	243	598	71	sp	Q9Y2M2	SSUH2_HUMAN	34.603	315	184	5	694	1611	74	375	1.18e-48	176
2003	g1510.t1	16.8591790731681	-4.76312688445822	0.916515168603554	-5.1969973303503	2.02533270713934e-07	4.66646146101806e-06	10	2	1	4	0	107	39	7	1	1	0	3	24	1	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2004	g15100.t1	99.3662941126888	-0.866868936049273	0.288308204599703	-3.00674390190478	0.00264062123448626	0.0129077813845708	96	122	78	93	111	87	79	51	87	67	63	91	172	119	98	sp	Q9DCR2	AP3S1_MOUSE	86.31	168	23	0	1	504	1	168	1.33e-97	283
2005	g15109.t1	531.139755120977	0.655877617833692	0.165450658065368	3.96418863184311	7.36460024160886e-05	0.000693657493370517	446	142	329	634	900	571	431	204	885	951	990	689	538	930	259	sp	Q641X2	LEO1_RAT	74.419	258	62	4	1522	2295	365	618	1.96e-106	345
2006	g15111.t1	23.9732129827895	1.22385055646024	0.37113765620156	3.297565030145	0.00097527087747481	0.00577290983150958	23	6	19	33	63	20	5	6	76	26	25	48	13	49	8	sp	Q8VDR5	TM267_MOUSE	40.113	177	103	2	37	567	16	189	8.06e-34	123
2007	g15115.t1	80.5555264547497	-2.80772781642232	0.850409399160716	-3.30161898397797	0.000961285537304567	0.00571038381709442	13	16	12	57	4	128	362	3	21	50	9	7	59	17	391	sp	P15145	AMPN_PIG	46.889	450	219	6	460	1791	71	506	2.65e-129	406
2008	g15116.t1	85.1576914603779	-2.71003025082848	0.884430198042652	-3.06415391155356	0.00218286576480591	0.0110548456979344	5	17	5	46	9	125	364	2	17	53	20	11	41	35	460	sp	O57579	AMPN_CHICK	40.603	431	214	8	1	1206	550	967	5.1e-102	327
2009	g1512.t1	184.80943225907	-4.1535060983598	0.747644194272752	-5.55545823825997	2.76884410328017e-08	8.3199919686759e-07	104	22	12	51	5	1149	490	54	9	21	4	30	361	52	402	sp	Q0KIA2	Y9801_DROME	47.111	225	113	4	295	960	248	469	9.39e-53	193
2010	g15125.t1	18.4841706136399	1.87743705845166	0.653828417006047	2.87145221837964	0.00408590546866987	0.0182981918473758	3	7	1	18	29	3	1	9	34	28	61	46	27	61	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2011	g15126.t1	5.40441208553153	2.54269058352735	0.658747799621813	3.8598847464646	0.000113440516459727	0.00099686660178968	1	0	1	13	9	2	1	1	6	9	9	18	6	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2012	g15128.t1	23.1467659757977	2.55826947028647	0.535628343040007	4.77620257316255	1.78636444510574e-06	3.02883971550647e-05	13	34	3	45	70	2	0	1	52	41	37	56	8	82	6	sp	Q9QXM0	ABHD2_MOUSE	45.063	395	212	2	13	1197	17	406	1.21e-128	380
2013	g15134.t2	21.2070370710222	-8.12845543666679	1.49092487897877	-5.45195505908686	4.98190478173403e-08	1.40676073236955e-06	46	44	0	0	0	46	17	48	0	0	0	0	0	0	9	sp	F8WLE0	KIF28_RAT	38.57	853	447	23	1	2484	41	841	2.14e-173	535
2014	g15137.t1	79.7499972374714	0.817131613544761	0.187488393211643	4.35830506383591	1.31073596606149e-05	0.000163097378881148	57	36	61	96	161	58	48	22	165	110	152	108	64	153	45	sp	Q148G7	DCTN6_BOVIN	70.286	175	49	2	25	540	8	182	2.16e-84	250
