gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
103	g17025.t1	1255.60177364602	-1.46033587061457	0.374558068219087	-3.89882369256664	9.66611214133435e-05	0.0208535385230946	1100	644	445	914	870	1071	1342	1438	1337	2008	473	1185	353	2914	sp	Q27433	MEC2_CAEEL	71.318	258	73	1	34	804	112	369	1.01e-105	318
104	g5607.t1	69.9240310517705	4.44348388707573	1.18187829908379	3.75967973227056	0.000170131014636842	0.0297274350274758	5	2	3	2	913	1	2	4	0	0	8	55	1	1	sp	Q6ZMT9	DTHD1_HUMAN	33.333	483	255	17	679	2034	178	624	2.04e-61	226
105	g1664.t1	397.557837239004	0.963235318539591	0.237319721143074	4.05880857225044	4.93237254660016e-05	0.0129776303848943	328	163	460	322	1049	585	158	369	270	178	461	646	554	271	sp	Q7ZWX9	MIDNB_XENLA	39.206	403	213	8	64	1194	7	403	3.9e-59	203
106	g782.t1	253.622273127922	6.21561142606944	1.2281029894767	5.06114835590292	4.16738776687955e-07	0.000623161973760365	3	3	7	4	2775	7	8	0	0	0	70	775	0	4	sp	P17945	HGF_RAT	34.074	405	185	19	109	1290	134	467	1.19e-45	172
107	g782.t1	253.622273127922	6.21561142606944	1.2281029894767	5.06114835590292	4.16738776687955e-07	0.000623161973760365	3	3	7	4	2775	7	8	0	0	0	70	775	0	4	sp	P17945	HGF_RAT	31.579	304	145	14	415	1299	134	383	4.85e-24	108
108	g11353.t1	1636.52761005332	-1.593319842594	0.307045142607319	-5.18920387101419	2.11195073149754e-07	0.000400953846374808	2360	1523	443	2114	368	732	1536	1980	2076	3045	970	1449	1472	2109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
109	g8842.t1	325.339211081115	2.36557560229054	0.610059873390404	3.87761219098688	0.000105486687629229	0.0220382826625723	15	120	64	45	1535	376	26	106	57	16	189	1731	272	222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
110	g3179.t1	17.1829266323909	7.1676651238258	1.26743421974141	5.65525611679334	1.5561404891241e-08	9.84777572867365e-05	0	0	0	0	143	35	0	0	0	0	26	34	19	0	sp	Q2V2M9	FHOD3_HUMAN	51.136	528	233	7	4597	6111	889	1414	1.04e-155	523
111	g17719.t1	66.7409930027682	2.38840995192642	0.50417806109898	4.73723498940095	2.16653894275066e-06	0.00178833660122267	10	12	68	21	73	88	9	17	55	10	169	286	197	42	sp	Q8AVH7	EGFL6_XENLA	47.177	248	124	5	106	834	35	280	1.72e-61	219
112	g9343.t1	165.172036531643	-1.74435267680117	0.474578935896811	-3.67557964515401	0.000237309990291699	0.036958877351108	195	287	61	218	88	94	299	121	192	163	80	120	11	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	g23103.t1	101.246960767481	-2.12764022797205	0.461520545150924	-4.61006611802358	4.0254092707202e-06	0.00256144091539878	89	27	15	175	17	37	121	337	96	253	63	42	77	85	sp	P22105	TENX_HUMAN	32.897	687	322	40	73	1977	148	747	1.22e-30	133
114	g9984.t1	133.975962365101	3.08403121741379	0.723356897185406	4.26349873681139	2.01250638846133e-05	0.0070754507009145	7	10	34	69	503	345	5	30	25	1	93	708	146	41	sp	P16446	PIPNA_RAT	37.453	267	151	8	64	822	2	266	1.73e-47	162
115	g15793.t1	39.5688771495597	2.45152568039449	0.471270290874744	5.20195252674239	1.97205606669871e-07	0.000400953846374808	8	8	19	14	85	104	7	23	19	10	35	186	89	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
116	g13468.t1	63.4352415520365	4.78079007039473	1.14978991559626	4.15796834321294	3.21090506054207e-05	0.00967603691657004	0	2	15	0	688	35	0	12	2	0	11	140	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
117	g13330.t1	10.5321369374885	2.91856926015786	0.59452354022465	4.9090894854307	9.15002219463231e-07	0.00091427984928997	3	3	9	3	30	53	1	2	0	0	6	18	21	7	sp	O13067	CND2_XENLA	39.193	694	357	18	169	2175	45	698	5.42e-139	427
118	g624.t1	166.293627929212	-2.03203921947072	0.569715377625978	-3.56676210485716	0.00036141930339424	0.0479828354890885	30	12	99	128	6	13	11	676	175	1039	160	8	288	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
119	g23714.t2	10.109425919278	5.0931356598126	1.26307808556829	4.03232050180101	5.52287957154003e-05	0.0136171258007386	0	0	1	1	110	14	0	0	0	0	7	11	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
120	g6492.t1	139.150595260086	-1.18933542090554	0.306053909000194	-3.88603244699869	0.000101895893219881	0.0217358823907803	51	31	145	414	20	13	16	586	204	360	248	13	200	17	sp	Q6FHJ7	SFRP4_HUMAN	39.86	286	127	8	13	747	1	282	1.64e-56	189
121	g4148.t1	14048.8824428297	-0.861642357649518	0.204287417564027	-4.21779455594452	2.46703435820744e-05	0.00836368701617292	22621	13768	8926	14816	8637	11325	12870	22738	9827	12614	7743	14655	13743	16124	sp	Q98SW2	HIF1A_ONCMY	45.54	213	95	2	4	579	228	440	7.65e-57	208
122	g14455.t1	223.966668590369	3.93736077896216	0.91399787093462	4.30784458495069	1.64853148957725e-05	0.00635815524013978	44	8	6	3	2711	53	25	0	0	1	34	132	7	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
123	g10014.t1	75.9439001775717	-1.98781965594678	0.38158349422329	-5.2093963340657	1.89456025663871e-07	0.000400953846374808	67	135	10	42	31	58	79	162	104	57	28	27	39	139	sp	Q07537	GALT1_BOVIN	54.344	587	226	9	22	1764	7	557	0	653
124	g6847.t1	390.374121906253	-0.639568653681057	0.146828229499779	-4.35589706325527	1.32523048229334e-05	0.00524156264715398	475	322	340	506	251	285	272	532	438	590	363	321	544	339	sp	Q9UPU7	TBD2B_HUMAN	35.455	990	535	15	256	3126	33	951	0	566
125	g1749.t1	43.5805213366587	-3.50032004684272	0.951203847720114	-3.67988423851778	0.000233339855067454	0.0369163095704634	10	76	0	11	3	17	108	38	10	42	0	84	0	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
126	g11899.t1	203.33375918225	2.04837411128168	0.428380687650428	4.78166773230733	1.7384685871626e-06	0.0015002193694219	35	110	242	57	648	294	81	34	28	27	79	754	285	225	sp	Q8VI93	OAS3_MOUSE	25.963	701	425	24	4	1965	452	1105	4.65e-43	171
127	g23985.t2	206.039871194339	1.2337005468959	0.333870807121037	3.69514351234864	0.000219762622805297	0.0359671844306773	86	55	194	168	539	179	66	290	180	116	464	226	573	98	sp	P21575	DYN1_RAT	70.893	773	186	4	1	2241	1	760	0	1106
128	g23108.t1	825.250714848403	-1.90466663530779	0.413256216766535	-4.60892433805493	4.04757584735124e-06	0.00256144091539878	520	326	173	1268	157	296	1012	2615	1002	1570	620	408	715	893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	g12858.t1	29.4360014320167	4.08967906796906	1.11747136953019	3.65976183326152	0.00025244977529669	0.038651282129094	1	3	1	2	372	6	1	1	0	0	3	28	0	1	sp	P53452	DRD1L_TAKRU	46.429	308	128	3	187	999	37	344	3.78e-87	276
130	g23110.t1	106.42050608499	-1.87765310734566	0.427989456100861	-4.3871480490472	1.14846619919291e-05	0.00493836228284704	74	43	25	197	18	28	130	315	147	146	98	60	81	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
131	g239.t1	58.4851887888077	6.31005073292956	1.43957625609903	4.38326952545643	1.16911324085393e-05	0.00493836228284704	1	2	0	0	634	7	0	0	0	0	49	143	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
132	g465.t1	5.72633980088783	3.26992411721538	0.898962568828011	3.63744190314667	0.000275359275690353	0.0410098731083903	0	0	1	2	22	17	1	0	0	0	1	31	6	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
133	g9978.t1	106.448848598409	2.44298674690339	0.667979821812565	3.65727626363673	0.000254909595253609	0.0387156693271181	14	26	55	19	151	203	6	36	95	6	48	775	164	32	sp	O57382	TLL2_XENLA	25.18	417	232	14	436	1533	349	736	4.47e-31	133
134	g24155.t1	21.75682576181	3.86253413016448	1.04652753943449	3.69080983024267	0.000223541220725357	0.036028631816943	1	2	2	0	203	7	0	3	5	0	4	82	9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
135	g14872.t1	861.744813505608	2.58692034210956	0.685099840351516	3.77597568959035	0.000159382536575359	0.0294303476704682	53	38	741	326	692	2328	123	502	1596	170	479	2988	4196	116	sp	O93484	CO1A2_ONCMY	33.333	234	143	6	8377	9045	1124	1355	6.12e-34	148
136	g3945.t1	3.47448527946027	4.49519592160778	1.19574394018426	3.75932987869886	0.000170369078864756	0.0297274350274758	0	0	2	0	8	20	0	0	1	0	0	15	7	0	sp	P47236	PAX1_CHICK	69.756	205	54	2	28	624	1	203	2.41e-86	258
137	g10615.t1	179.756580157297	-0.609333285870271	0.152061497067651	-4.00715038073828	6.14557362648295e-05	0.0144041623825653	145	130	204	395	99	115	78	302	272	263	211	78	320	120	sp	Q19AZ8	THRB_PIG	38.756	209	113	7	472	1056	376	583	1.92e-32	136
138	g8977.t1	38.5386148053822	4.49356568278996	0.901373471178112	4.98524288374805	6.18840239745562e-07	0.0007887683314386	3	1	0	3	138	49	0	10	3	1	65	279	34	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139	g11872.t1	200.644062512936	-2.26822355040566	0.517804046978831	-4.38046701959901	1.18425216606835e-05	0.00493836228284704	313	230	23	460	19	35	152	789	224	250	155	126	90	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
140	g16133.t1	27.2363312862642	1.59557489590444	0.442482517818328	3.60596143723703	0.000310999322279179	0.0435425654968847	3	4	32	9	40	55	8	25	37	23	66	29	90	12	sp	Q9QX29	TRPC5_MOUSE	32.432	370	185	11	1069	2103	468	797	5.67e-50	192
141	g16133.t1	27.2363312862642	1.59557489590444	0.442482517818328	3.60596143723703	0.000310999322279179	0.0435425654968847	3	4	32	9	40	55	8	25	37	23	66	29	90	12	sp	Q9QX29	TRPC5_MOUSE	34.025	241	148	4	1	723	230	459	4.54e-26	118
142	g22445.t1	397.55980483431	-0.797601034161272	0.186547312313498	-4.27559649222326	1.90626213826215e-05	0.00682837484809563	338	263	320	593	245	264	235	628	712	696	465	162	586	340	sp	A2RT67	DEND3_MOUSE	31.226	1313	744	38	331	3966	11	1265	4.46e-177	566
143	g7540.t1	26.6973350414891	3.41291173144414	0.774858438320372	4.4045616110759	1.05998013295305e-05	0.00479136257716993	2	1	13	7	179	31	1	10	15	0	26	80	38	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	g23100.t1	230.703280462104	-1.75335530440639	0.453345617581298	-3.86759072197705	0.00010991594161489	0.0221995122506243	256	33	44	424	119	80	301	578	330	307	135	138	186	246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
145	g7857.t1	3092.57054789715	-2.3914762432786	0.609132899714448	-3.92603361992053	8.63580904474677e-05	0.0189161868463822	1495	422	3881	8298	38	142	566	17336	6327	5642	1952	48	6212	56	sp	P42577	FRIS_LYMST	46.341	164	52	1	28	411	7	170	1.02e-46	152
146	g6502.t1	449.833365150136	5.43415253143716	1.2219054949385	4.44727726812511	8.69655559044348e-06	0.00423343866370691	8	5	15	4	5002	155	1	0	0	0	192	807	2	210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
147	g23670.t1	54.5517708663208	4.79753253963681	1.13168084670556	4.23929816750274	2.24219682786674e-05	0.00773965577764547	1	0	4	0	607	22	1	4	2	0	58	72	1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
148	g5197.t1	27.1762072870451	-2.54341563729249	0.676642060874879	-3.75887900613793	0.000170676345430332	0.0297274350274758	13	7	19	12	3	1	19	131	58	119	17	5	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
149	g3840.t1	11.6200458001092	3.11462421934928	0.766122937053019	4.06543658819307	4.79426287904112e-05	0.0128195888392388	4	4	3	3	44	18	4	2	1	0	43	39	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
150	g18244.t1	103.948849039947	-1.92952760914063	0.50852613841316	-3.79435286288658	0.000148029031997295	0.0283871835602893	87	141	4	7	59	103	260	35	27	64	10	110	8	186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
151	g21563.t1	45.5100385463799	4.47601967957069	1.11668337803569	4.00831584638097	6.11532976279906e-05	0.0144041623825653	0	1	2	0	516	24	0	0	2	3	22	68	5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
152	g12333.t1	36.5998168975421	4.98481902077963	1.16460051541116	4.28028234129687	1.86656360484719e-05	0.00681475193038923	1	0	8	0	417	9	7	1	0	0	15	58	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
153	g23718.t1	78.5917028471835	5.48095797557521	1.339112441137	4.09297816016218	4.25867845801371e-05	0.0121566244809427	1	1	3	3	963	2	0	0	0	0	0	151	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
154	g22624.t1	25.3316549842957	3.52987375282565	0.931018574477731	3.79141066525529	0.000149794029917676	0.0284383965798708	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	34.068	1180	696	31	124	3591	194	1315	1.04e-166	577
155	g22624.t1	25.3316549842957	3.52987375282565	0.931018574477731	3.79141066525529	0.000149794029917676	0.0284383965798708	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	34.267	464	274	16	961	2328	910	1350	1.16e-55	220
156	g22624.t1	25.3316549842957	3.52987375282565	0.931018574477731	3.79141066525529	0.000149794029917676	0.0284383965798708	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	26.069	725	437	26	2638	4686	193	860	9.39e-42	174
157	g22624.t1	25.3316549842957	3.52987375282565	0.931018574477731	3.79141066525529	0.000149794029917676	0.0284383965798708	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	28.535	396	256	10	106	1275	542	916	1.33e-37	160
158	g22624.t1	25.3316549842957	3.52987375282565	0.931018574477731	3.79141066525529	0.000149794029917676	0.0284383965798708	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	28.841	371	240	11	124	1224	1000	1350	2.53e-35	152
159	g5031.t2	57.3179272436926	-1.22206638454163	0.32475344993672	-3.76305897529267	0.000167847599473745	0.0297274350274758	77	51	32	77	24	20	55	109	47	114	68	30	66	37	sp	Q0VC16	TGO1_BOVIN	28.962	549	332	11	196	1722	1157	1687	3.34e-44	174
160	g11894.t2	14.9509029981331	-7.08471034564751	1.76798769258995	-4.00721700458731	6.14384092651025e-05	0.0144041623825653	0	16	0	22	0	0	0	0	17	150	0	0	0	16	sp	Q8BXR5	NALCN_MOUSE	51.817	1789	727	27	13	5148	3	1733	0	1676
161	g11890.t1	464.219491418542	2.65868241301661	0.726385086765685	3.66015555860969	0.00025206217728167	0.038651282129094	35	14	8	10	2218	1325	47	7	21	10	101	2318	22	416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
162	g10608.t1	639.114356762334	6.20153048603298	1.14326630344452	5.42439715694283	5.8150458623292e-08	0.00022079729139264	5	8	14	28	7235	17	2	2	9	0	176	1712	12	8	sp	Q8WPD0	LECG_PATPE	37.838	148	85	4	460	897	26	168	2.05e-26	105
163	g21236.t1	191.651887867324	6.70413314563283	1.3451623016169	4.98388420309906	6.23203843643877e-07	0.0007887683314386	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	42.92	226	121	3	397	1062	701	922	3.59e-46	172
164	g21236.t1	191.651887867324	6.70413314563283	1.3451623016169	4.98388420309906	6.23203843643877e-07	0.0007887683314386	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.975	237	119	2	442	1071	192	427	3.46e-39	152
165	g21236.t1	191.651887867324	6.70413314563283	1.3451623016169	4.98388420309906	6.23203843643877e-07	0.0007887683314386	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.19	242	116	2	442	1062	53	293	9.97e-38	147
166	g21236.t1	191.651887867324	6.70413314563283	1.3451623016169	4.98388420309906	6.23203843643877e-07	0.0007887683314386	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	36.709	237	119	3	442	1071	323	555	7.63e-35	139
167	g21236.t1	191.651887867324	6.70413314563283	1.3451623016169	4.98388420309906	6.23203843643877e-07	0.0007887683314386	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.069	232	115	3	442	1056	454	681	6.11e-34	136
168	g7620.t1	89778.5190507621	-0.756518163925043	0.126832574782354	-5.964699251933	2.45085032605983e-09	4.65293934402458e-05	122480	81989	66913	104441	72482	77426	64505	129731	86465	96111	59090	79234	84437	113873	sp	P42577	FRIS_LYMST	67.262	168	55	0	1	504	3	170	6.23e-82	243
169	g18136.t1	32.7775195780784	3.24551806887259	0.854002852862433	3.80035975054922	0.000144486175234409	0.0280734818873809	1	1	4	0	134	159	1	1	6	0	7	126	12	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
170	g15917.t1	9.42642548000199	3.48028911288975	0.963092688804752	3.61365957123916	0.000301905405934175	0.0430952942230098	1	0	5	0	5	23	3	2	2	0	4	88	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
171	g17338.t1	71.6755077965385	3.04262218422168	0.772941713118902	3.93641866208045	8.27066347443968e-05	0.0184727701249691	8	1	26	21	180	145	13	40	50	12	68	385	177	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
172	g7003.t1	36.6749712619067	-4.0319003307777	1.01406333145736	-3.97598473951648	7.00886200551135e-05	0.0162272250212967	86	8	2	4	3	20	53	2	78	202	2	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
173	g23104.t1	508.10868493604	-2.13056267609711	0.4432341654244	-4.80685570359199	1.53322569330127e-06	0.00138610903749165	390	142	65	958	112	189	672	1663	694	764	295	187	436	531	sp	Q29116	TENA_PIG	30.396	556	293	28	67	1611	185	687	4.62e-27	125
174	g21610.t1	9192.92763950605	-0.869527359193317	0.229909914156041	-3.78203507397756	0.000155551437929726	0.0292390499910479	14040	9398	6626	9493	4287	7440	8213	12363	8631	8785	8260	5827	9948	11467	sp	Q8MPM1	GELS2_LUMTE	49.866	373	165	5	1	1083	1	363	2.44e-127	373
175	g1748.t1	221.280150879079	-1.61956223071371	0.39929139110155	-4.05609103228028	4.99008173872681e-05	0.0129776303848943	296	156	90	249	65	216	218	101	240	465	78	115	122	450	sp	Q06806	TIE1_MOUSE	46.333	300	148	4	2776	3648	832	1127	4.9e-77	281
176	g1748.t1	221.280150879079	-1.61956223071371	0.39929139110155	-4.05609103228028	4.99008173872681e-05	0.0129776303848943	296	156	90	249	65	216	218	101	240	465	78	115	122	450	sp	Q06806	TIE1_MOUSE	31.387	274	153	12	316	1107	96	344	1.5e-31	138
177	g13571.t1	37.0090722122731	4.53957938844553	1.1210764679354	4.04930396657574	5.13701873592367e-05	0.0131792298245285	3	1	1	3	390	3	7	0	1	0	68	46	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
178	g15734.t1	23.6177222389155	7.48896473584701	1.38936507267826	5.39020656493878	7.03767421612196e-08	0.000222683741655126	0	0	2	0	282	2	0	0	0	0	32	18	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	g23378.t1	87.165417188185	7.85922426314273	1.38199358992761	5.68687461390787	1.29385380401128e-08	9.84777572867365e-05	1	4	2	0	904	3	0	0	0	0	122	233	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
180	g12669.t1	10.6784279634551	1.82125435423467	0.511143752186482	3.56309618662858	0.000366506309262562	0.0483202936204843	6	8	14	3	29	15	1	2	8	0	17	25	21	10	sp	Q29RT6	KI20A_BOVIN	39.658	643	315	14	76	1950	24	611	4.91e-135	427
